date,review,rating,isEdited,userName,title,app
2022-10-20 17:08:18,"Being single and traveling a lot for work, all around the world - I have used quite a number of delivery services and apps. I must say Bolt Food in Malta is probably the best one so far. I had a good experience with some apps in California - but in smaller cites, like here in Malta - nothing I’ve tried comes even close! In fact this applies to the whole Bolt app selection here, the scooters and taxi as well. Just a joy to use. Highly and unreservedly recommend.

*edit - I didn’t remember having left a review. I can only confirm it. If they have been mistakes (1 in 100) everything is corrected instantly in a polite and respectful manner. Again after yeast of business - I repeat my 5 star verdict",5,False,TBeck-NARC,Excellent! And I’m not easy to please.,Bolt Food
2022-08-19 15:56:51,"App is well-designed and nice to use. Only complaint is lack of Apple Pay, or even Swish. I dislike needing to give out my credit card information. Sure, opting to not store it is an option, but then it becomes *very* tedious to re-enter the info every time I order. Apple Pay effectively solves this, and it’s more secure for the purchaser. Your competitor has this, so you should definitely consider adding it soon. 😉",4,False,henhouse,"Nice app, but lacking Apple Pay",Bolt Food
2023-07-26 09:03:32,"I’ve had this payment issue for over a month now, and I am not sure if ""fraud"" is the right word to describe it. I made a card payment, which was debited from my account and cleared on the app, but it later came back as negative. Despite escalating the issue to the customer service team, all they keep telling me is to use my card again and they will debit it and credit me. This doesn't make any sense to me because I have already made the payment and I shouldn't have to pay double for something I have already paid for. I provided evidence of payment, but the situation remains unresolved. To make matters worse, I am now unable to access the app, and I can still see a negative balance on the ride app. This is unacceptable and needs to be fixed immediately.

Your payment service is poor! Fix it!
This isn’t the first time I’ve seen this happen.",1,False,hsghdoenvskrbbd,Poor Payment Service!,Bolt Food
2022-11-22 10:00:43,Live activities would be nice instead of getting constant notifications and w/Apple Pay support it would be easier to pay for orders,4,False,Sussy31,"Great app, but it needs live activities and Apple Pay support",Bolt Food
2023-06-14 09:04:39,"After waiting for over an hour for our food and I reached out to the restaurant and learnt the food was collected 30 mins ago.  Given that it hasn't arrive at our place, 4 minutes away from the restaurant, something was up.
I ended up driving to the restaurant and learnt that the Bolt platform allows drivers to cancel the order, once they have collected it.  Our delivery man was waiting for our order, whilst someone else as per the security footage, already collected our food.

As Bolt refunded as on the app, the restaurant had to remake our order which I paid for with the waiter.

Despite my efforts to support the restaurant being reimbursed by Bolt, due to their poorly designed app, Bolt has opted to ignore my messages.

I am sharing this as a warning to other Bolt users, that your food order could also be taken at the cost of the merchant.  Be careful!!!",1,False,schalas1985,Food order stolen,Bolt Food
2023-09-29 14:28:48,"I placed an order at full price and it came to $71. Then some weeks later I received a 30% discount for all restaurants. I went back to order the same menu, order again, and my total price came to $72. I noticed that the prices were raised just slightly above 30% so my actual discount cost me $1 more than the regular price. This is a bit of a scam because I wouldn’t have known had I not checked a previous order, I feel like I’m being scammed here and it’s not it just one restaurant it’s all the restaurants! 👎👎",1,False,AntonioNealsWorld,Price was raised when I received a discount,Bolt Food
2023-03-19 17:43:02,What's the point of a business if you do not take customer complaints serious? This is the third time I've ordered food on the app and had delivery complications. I can't reach the rider and I'm literally telling you I'm not able to reach the rider and I get automated responses? How does that even help? The customer service really needs to be improved on. Like why can't I even call to make that complaint? It is just super frustrating. I totally won't recommend this app to anyone. Terrible customer service!,1,False,Angry complaint😡,Customer Service is trash,Bolt Food
2023-09-18 10:55:11,"I will never recommend to anyone!!!
I got to a new place and needed food so I downloaded the app to order some KFC. The rider wasn’t moving much on the map. I waited till a minute to estimated delivery time and called him after several tries before he picked up and wouldn’t speak when he did. Food never came and payment had already been made. Contacted support and was told rider claimed came to my doorstep and waited over 15 minutes but and all attempts to contact me failed and so my money will not be refunded.",1,False,Tony77#,Terrible service delivery,Bolt Food
2024-01-11 06:26:10,"This garbage app tried to force me to pay for food that was delivered that was partially opened and had the wrong items. Instead of them resolving the issue they wanted to make me pay for the food when I refused the driver correctly took the food with him but then Bolt told me I have to pay a debt for the opened food and wrong items after they already took the food back!!! This is the absolute poorest delivery service I have ever encountered, they really don’t care about the customer nor the product they serve!",1,False,YZNLV,HORRIBLE SERVICE,Bolt Food
2023-12-08 18:15:19,"The customer support or message center on this app is trash. I had a delivery driver get here and he sat outside for 30 minutes plus. I messaged on the app and asked if there was a problem, and then they said oh he’s trying to reach you, but can’t. I called him, and the driver himself had issues, but I got my food. But then I told customer service why would he wait that long to not tell them he needed help so they could get hold of me. Make zero sense and they had poor responding time and did nothing to help.",1,False,JennH1219,Bad Customer Support,Bolt Food
2023-06-14 17:14:32,"Overall the app and service had worked well, until a problem arose. The customer service tries to give you an automatic refund to avoid service calls. But the one time that a restaurant sent me the wrong order and I contacted them, they’ve done a horrendous job of addressing or fixing the problem. A restaurant sent the wrong order and I sent the a photo and description of the issue. But the service has done horribly to actually have someone figure it out.",1,False,Bangbangboogie,Poor customer support in Georgia.,Bolt Food
2022-08-07 20:16:43,"Good luck getting your order after it’s been paid for. They have absolutely no control over their dispatch riders. The app will tell you your food has been delivered but you’ll never get it. You’ll reach out to their absolutely inept customer service who will tell you they’ll get back to you but that will be never or maybe when pigs fly. Your money will be gone and you’ll be left hungry, frustrated with no food and less money.",1,False,Kikiite,Complete waste of time. Deleting the app,Bolt Food
2024-02-10 20:11:09,"You will rarely get a delivery up to par with the original dine-in service. But compared to other food delivery services in Ghana, maybe it’s better to receive mid quality goods, and sometimes not even what you ordered, and have to go back and forth with bots to some kind of solution. This is my first and last review as I delete this app for good, I hope it helps.",2,False,Justina15,A 50/50 experience,Bolt Food
2024-01-22 15:19:38,"No matter what discounts or promotions are active, the app enforces a minimum order of 40 RON. If you want to order something that costs less than 40, a fee equal to the difference is applied to your order BEFORE factoring in the delivery fee, even if the delivery fee would put you over 40. This is a greedy, disgusting practice and defeats the purpose of using the app at all.",2,False,TinyTumblr,Small order fee defeats purpose,Bolt Food
2022-12-09 11:10:24,"For example, we leave on a dead end and the map shows a non-existent outlet. It’s frustrating to see the driver trying to find the street. There’s no easy way to provide feedback and no interest to fix these problems.",3,False,Vake User,"Okay App, But Maps Often Wrong",Bolt Food
2023-01-31 12:20:26,"I’ve using this app for a while in different countries and overall review is not good comparing with Postmates or Doordash due to their customer services. After using this app in Azerbaijan I’ve faced issues with food delivery, trying to resolve it with customer service, but no progress. They always make you wrong trying to bring ridiculous argues to make you feel down.",1,False,davvud d,Bad customer service,Bolt Food
2023-06-10 19:13:41,"They have the audacity to make you wait for more than an hour and then tell you that your order was sent to a different location and all they could offer was compensation (I assume 5 gel) and waiting for the order to be prepared again. 

I was hungry before and now I'm hungry and angry. Thanks to bolt food. 

Shame on you!",1,False,Tamara.ta,The most horrible experience I’ve ever had with the delivery company.,Bolt Food
2022-09-15 13:30:31,"For the past months now, I’ve been trying to place an order, it keeps telling me “ Could not place your order
Chow Hub is outside of business hours.
Please try again later, or order from somewhere else. “

I uninstalled and reinstalled it so many times, but it’s the same thing. I’m about to delete it and use something more reliable",1,False,AmalekElikem,Check your app,Bolt Food
