date,review,rating,isEdited,userName,title,app
2021-10-26 08:58:50,"First of all, app shows estimated delivery time and if there's a delay the time only changes without notice of delay. Estimated time of delivery is frequently unrealistically short and not possible hence the delay is frequent. There's no option to see location of restaurants, and therefore there's no way of telling if the estimated delivery time is even possible or you will have to wait until your food finally arrive cold. There is no option of leaving reviews and comments for restaurants, only thumbs up (like) or dislikes, and therefore the restaurants also don't have any feedback about customers reviews. The only option is to file complaint to Glovo customers service, which we all know is not so good,and they will maybe relay to restaurants. Frequently happens that you can see restaurants, search and pick your food only to get message that order is not accepted from restaurant because they're closed. If they're closed remove them from selection in app please. To summarize, lots and lots of places to improve. Realistically i use it because there's no other choice since they bought and crushed local ""Donesi"" service that didn't hadhave any of the above mentioned issues, when they were late you even got an apology message, small thing but makes you feel they actually care for the customers, unlike Glovo.",5,False,Toplinger,The app have many flaws,Glovo
2022-06-30 22:25:50,"I highly recommend this app. With me living almost 6000 miles away from my parents and family, when I found this app I was able to take them places they couldn’t afford. Actually they don’t go places, places come to them fast and with great food. I will not lie, out of almost 50 orders if not more, maybe a bit less( do not keep track) I had a couple of orders where I wasn’t satisfied by the quality of the food, but Glovo handled everything the right way. For that reason I stick with the 5 stars. The drivers are polite, they deliver everything in a timely manner, they surprise my family. And you have to see the happiness of them on their faces, priceless. I make them happy and for all these I thank you Glovo . And it’s not only food they offer so much more",5,False,acidor58,I love Glovo,Glovo
2023-10-25 18:12:38,"Charged and DID get any of the food. Then shut out of the account and my card is being used without my permission I'm in one country my husband is in another. I need to go grocery shopping for my husband & our household. I place my order as usual and it didn't go through. I thought it was because I use an American Express. I put another card in. It didn't go through. I thought it was because it was a Mastercard. I tried my final card which is a visa and it went through for one store (small items under $30). I proceeded to go grocery shopping at the next store and my card was blocked. My account was blocked and I was told that I need to send my identification as well as a copy of the card. I sent all of the information over and then got a letter indicating that I was no longer allowed to use the app. Not only did my husband not get the second batch of groceries. I am out of time and money it took for me to communicate with these folks. I believe there may be some type of fraud going on because why do you need anyone's personal information if you're not going to utilize it for your service??? I suggest reporting this app and anyone connected to it to the FBI crimes division because I'm sure they're using our information for something and it's not to buy groceries. Totally wrong for collect peoples personal information, if it's not going to be use for the service.",1,False,Modern Mommy!,Fraud Alert! Buyer beware!,Glovo
2019-03-11 01:16:50,"1. A bug in the app didn't let me see the order I had just made, so I thought that order didn't go through. Because of that, I had to make the same order again. After some minutes, the first order I made finally showed in the app as ""ongoing order"", so now I had two ongoing orders with exactly the same product. Clearly that was Glovo's fault, so I thought they would apologize and just cancel the first order; no big deal.  
But then I contact them and they say they are going to charge me 0.90 USD as a cancellation fee, for something that was clearly their fault. I now think that the bug in the app was implemented on purpose, and Glovo is just trying new methods to overcharge their customers without their consent.
2. As others have mentioned, they ask for a picture of an official ID and one of your credit card. I hope they can reveal what technical measures they take to make sure they don't get hacked and those pictures don't get intercepted by third parties. I have used many American apps before and almost never have had to deal with that kind of requests.
3. On March 2019, they cancelled an order but still charged my credit card with the full amount. They haven't given me a full refund yet, one week after the incident.",1,False,angery guy,Bug in the app made me pay extra fees,Glovo
2020-06-12 19:31:22,"Even though I appreciate Glovo’s requirement of riders to submit receipts and its automatic recalculation of final cost, I’m tired of their customer service. I had many occasions, but I was fed up when the milk box packages I ordered from a supermarket came with 30+ cockroaches inside them. The problem with Glovo is that when products are wrong or low quality and you report, you are required to spend 30 minutes on live chat, dealing with a rude customer service representative, where you’re asked to provide details and photos, which they use to verify with producers while you’re told to wait online (if you close the chat, your request will be deleted). Then they have no solution and tell you to wait an additional few days or more until they decide if the products were so horrible or so wrong that you should be reimbursed. This is disrespectful of the customer’s time, beyond anything. I had a family of cockroaches come inside a Glovo box to my apartment, of which I sent photos, and they’re still taking a few days to evaluate if my problem is big enough for a refund. Deleting the app.",2,False,pinkshoes236,Bad Customer Service,Glovo
2021-11-25 17:43:19,"I have deleted this app after may issues with Glovo.  Every order was late, and food often was cold and soggy. The final straw was the food being over half hour late, I watched from balcony the driver ring on our building buzzer and let him in. I waited and the food never arrived. The delivery driver got lost somehow inside our building (we are literally directly down the hall from the elevator, and despite always late, never had an issue with delivery driver getting lost). So, the delivery man cancels our order. Now things get worse, I contact Glovo customer service and tell the. I can see the driver outside my building, all they need to do is contact him to re-deliver - no way, they refuse and say it is not possible. Wait, it get worse. Glovo insists on charging me for the undelivered food. This despite literally over one hundred orders previously. After over an hour of arguing with 3 different customer service reps, they finally agree to refund my money, but tell me I will have to wait 6-8 weeks!!!! Never again Glovo, I hope all these one star ratings result in your bankruptcy.",1,False,Cranky Vader,Never again,Glovo
2019-12-15 16:42:03,"Seems like there is a break down between when orders are made, sent to restaurants and assigned to couriers. My app was showing my order eternally 20 minutes away. After 45 minutes I reach out to customer service to be told it was in the way. Another 15 minutes go by an nothing - 20 minutes no courier assigned. They tell me the same thing so I ask who is coming and when, next answer is that they’ll call me, my app must not be up to date. I checked and it’s the latest version on the app store. So now they say that the restaurant was very busy and that was the reason for the delay. An hour and half later my food arrives. I asked the courier and he told me he was assigned the other 15 minutes prior and when he got the restaurant they told him the food had been sitting, ready and waiting for a while. So customer service is just lying to customers to cover up for a buggy app. I now had to reheat everything since it’s obviously cold. 

Until they fix this, use Uber Eats or Hugo or any other food delivery app available instead.",1,False,EdginaCR,1 hour and 30 minutes waiting for cold food and dishonest customer service,Glovo
2020-10-22 20:17:19,"The app could have been very handy. Unfortunately it just doesn’t work: it gives wrong locations to the drivers. At every delivery they had to call me to ask for my address, and it turned out that Glovo had sent them 500 meters away. I tried to edit the saved addresses but the app doesn’t allow that. One can only add a new one, without the possibility to delete the previous ones so they just keep adding. Furthermore, when I order I get an alert that I am trying to order for an address that’s “very far” from mine, while it’s exactly my place. Customer support is nonexistent when the driver is lost and if he arrives 30 mins late with a cold pizza the app just offers a free delivery for the next order - no way to get a refund. If they don’t fix their app, Glovo just can’t compete with all the other similar ones available on the Appstore.",4,False,RVS67,Missed opportunity,Glovo
2019-05-29 15:18:54,"I was charged on my account for an order I never made (I first noticed an order was charged when I checked my bank account), tried to contact them to get it refunded or taken off, but they kept saying it was cancelled by me and just not understanding that I never made the order at all. The reply for the order addressed me by the absolute wrong name (which I’m assuming is the person who actually ordered it so I’m also assuming my account was hacked).  I keep getting the run around and being told to go to chat support (which doesn’t exist if you’re not ordering). In addition, the app glitches like crazy so I can’t review restaurants at the end either which I had also contacted them about (to which they also gave me 0 helpful responses to fix it). I’m over this app and their customer service. What use is answering quickly if you don’t resolve problems? They’re just out to take your money. Never using this app and service again unless they either become more helpful and fix their app and fix their security measures.",1,False,Kristie Dinh,Charged for an Order I Never Made,Glovo
2019-07-21 02:35:01,"Don’t bother with this. I’m from the US and visiting Ukraine. I’d probably use this service every day, except my account was flagged at creation and said “contact customer support.” Well, there’s no way to do that! No phone number, email, nothing. I tried reaching out on Facebook only to be ignored. It’s been several days, my account remains locked, and I have yet to use the service.

UPDATE: emailing the given email address was ineffective. I was told they couldn’t verify my identity and credit card so I would need to send a picture of my credit card and passport 🤣 Are they serious?? I asked that my payment method just be switched to cash, so I could just pay in cash instead of using the credit card in question, but was told my account will still remain locked until I sent the requested documents. I went ahead and sent the passport with all numbers blocked out as well as the credit card, with all numbers blocked except the last 4. That’s all they should need to verify my identity. It’s been 3 days...no response!",1,False,Amanda6983,No customer service,Glovo
