date,review,rating,isEdited,userName,title,app
2023-08-21 18:10:56,"I order food often for my long distance girlfriend off Wolt on a very consistent basis and have had an amazing experience every time (even down to the graphics of the cute delivery people, tap game when an order is placed, and the automatic and perfect translations, this app is next level). My first time in visiting Denmark yesterday, we ordered food from a restaurant that was far too busy to accept our order but took it anyways, and when we complained to Wolt for the very long wait time, we had incredibly prompt and wonderful customer service from multiple people (including a full refund for the order). I have nothing but compliments for this business; hands down wish I had this delivery service in the US. I will continue to be a loyal customer long after I return home from this trip.",5,False,Shawnee101063,"As an American, BEST delivery app I have come across",Wolt
2021-10-02 13:17:56,"i have to say that i really enjoy ordering food with wolt. the interface is quick and easy, and they have a great selection of restaurants. However, on the multiple occasions that something went wrong with my order or i just wanted to cancel an existing one, wolt has provided me with the most abhorrent online customer service i’ve received in a long time. there is no way to cancel orders in the app. you have to contact a “customer service assistant” through Wolt’s live chat feature, which is already a completely unecessary hurdle of its own. By the time i get a reply (usually 10+ minutes) the restaurant is already making my food, so the order can’t be cancelled. since this is probably outsourced through some live support platform i can’t really blame the assistants themselves, since they’re also given limited options to even help me out in the first place. i’ve previously gotten a fully different order, and was rewarded with a wolt token (free delivery wow) and maybe half of the money i paid originally. these issues with customer service have really made me rethink my patronage to wolt, and with all kinds of new delivery apps popping up that don’t have these issues i think it’s time to switch.",3,False,Keizer 1098345,"great app, horrible customer service.",Wolt
2022-02-16 02:23:31,"overall good app, with great support center. But I have escalated several time u fortunately still some key features not available. First and main one - you need to make decision either to give tips to courier or not before you place an order. where is the logic? I want to give tips based on provided services and it can only be after service was done, so I can decide give no give and how much I want to give. secondly will be outstanding to see on main screen ratings you have given previously to restaurants, thankfully variety is big and for such heavy user who order sometimes several times a day it is impossible to remember feedbacks I have previously given. I had cases where I had negative experience with restaurant and them several months later again placed order and had to face with same issues, if I had a hit on my previous feedback this could have saved me from having another negative experience. if these two functions will be implemented then I can all this best available app for food ordering! hope developers pay attention on this",3,False,fmammadov,good app but missing crucial optionality,Wolt
2023-05-23 17:28:13,"Only writing 5 stars so others will see this. This app is HORRENDOUS, go with ANY OTHER delivery app you can! I’ve been waiting on their “24/7” support for 2 weeks. I’ve used their in app chat and emailed multiple times, never got any help and other than “we will get back to you soon” in app, I haven’t had any other response. They clearly do not care about the people they are providing for and that’s really sad. Also offers you “free credits” when someone refers you but if you try to use them your order will NOT process.",5,False,g'd up from my feet up,BEWARE,Wolt
2022-06-24 18:37:38,"I’ve been using Wolt for my stay in Israel. For the first 3 weeks, it worked flawlessly and I absolutely loved it! However, once I saw the message “Failed to process card” after confirming the order, I was confused. I contacted support and they fixed it, and I ordered. Next time, it happened again. And the next time, once again. And again, and again, and again!! I now need to wait for over an hour to get anything on Wolt, regardless of how far away the restaurant is. I will now have to avoid using this service until the big problem is fixed once and for all. While it is convenient to have food delivered, I can go to a restaurant a mile away and be back before I would be able to get it using the app. PLEASE fix this now, it will benefit me and many others who are now very inconvenienced by this obvious glitch. I never complain, but this large of a problem is unacceptable.",2,False,Commands don't work at all.,"It’s great when it works, and that’s never.",Wolt
2022-12-14 13:04:44,"Incredibly disappointed at what was once a Greg’s all. Customer service is not equipped with the tools or knowledge to solve the technical issues you’re likely to experience in this app. For example, I received German Wolt promo credits while in Serbia? Doesn’t make sense right? Instead of attempting to solve the problem many customer service agents chose to educate me on how currency exchange works. First, we’re talking about Wolt credits not money. Second, why would Wolt issue credits for a country you’re not in? After reaching out on Twitter, email support, wolt in-app support no one offered a solution. Eventually I figured out there’s an app setting that determines what country the promo codes will be generated for. Mine was oddly set to Germany. I changed it to Serbia. No one offered this which makes me question if employees actually use the app? Is this all designed for people who travel and use wolt globally? After my personal experiences I concluded it’s not. Will never use this app again.",1,False,SakaJapaCali,Unequipped Customer Service,Wolt
2023-07-29 01:32:56,"I had a dreadful experience with Wolt. My recent order of medicine from a pharmacy turned into a nightmare due to their poor customer service and frustrating delivery delays. The app initially promised a 30-minute delivery estimate, but after waiting for a whopping 90 minutes with no sign of my order being picked up, I decided to cancel.

However, the trouble didn't end there. Canceling my order was an uphill battle, as the customer support initially refused to comply with my request. I had to plead with them before they finally agreed to cancel the order. To add insult to injury, just minutes before the cancellation, the estimated time suddenly jumped to another 220 minutes, which is utterly unacceptable.

This entire ordeal left me feeling frustrated and extremely dissatisfied with Wolt's service. It's disheartening to encounter such a lack of responsibility and professionalism in a delivery app. I hope they take this feedback seriously and work on improving their customer service and delivery efficiency.

I strongly advise others to reconsider using Wolt until they can demonstrate a significant improvement in their service. There are plenty of other reliable delivery options available that value their customers' time and satisfaction.",1,False,A.Oelsner,Extremely Disappointed with Wolt's Customer Service and Delivery Experience,Wolt
2023-02-26 12:52:10,"I recently used this delivery company multiple times, and unfortunately, I had a consistently negative experience. On several occasions, the delivery personnel did not bring everything that I had ordered, even though I paid the full delivery price. This caused a lot of inconvenience and frustration for me, as I had to spend extra time and money to get the missing items myself.

To make matters worse, this happened more than once, which suggests that there is a systemic issue with their delivery process. I tried to contact their customer service to address this problem, but I was met with unhelpful and dismissive responses.

Overall, I cannot recommend this delivery company to others. Their unreliable delivery service and poor customer service make them an untrustworthy choice for anyone looking to have their items delivered safely and on time.",1,False,Taaaa111,Irresponsible company.,Wolt
2022-07-20 10:08:35,"Placed an order in Berlin and received the wrong bag. Noticed right after the driver left. No option to message the driver. Had to use Wolt support chat. Incredibly unprofessional and slow. They began by asking me what country I was in. (?!) Minutes between every response. I was on chat with them for over 30 minutes, was not able to get my food or make a new order since the restaurant closed. They gave me a refund and a stupid credit worth a couple euro. Not enough to make me risk using their service again. Also they sent weird “funny” GIFs when I was obviously upset and needing answers. Tone deaf, unprofessional, and an unnecessary process given that I could’ve received my food if I could’ve messaged the driver. I will not use this again.",2,False,OGratqueen,"Deleted the app, these ppl are deranged",Wolt
2023-06-07 16:46:49,"The app itself is great. We used to for all our food deliveries when we were in Budapest in April. Now we are back in Budapest and all our orders are failing ? Why? Apparently customer support said my account was flagged for unspecified suspicious activity and their computer system automatically did the flagging so customer support can’t undo it? So now we are in Budapest with no way to do food delivery and there’s nothing we can do except uninstall this app. Which I did, so sad the app itself worked fantastic. But if the “computer system” is going to unfairly flag random people just trying to use the app to eat then you guys need to take control of your app and not leave it up to a computer where customer service themselves can’t do anything to help.",1,False,Nolan_92_,App was fantastic until we could no longer use it,Wolt
2022-04-17 08:51:59,"The service is okay, but there are several odds about the app when I was in Denmark Uber eats wasn’t an option so I decided to give this a few goes and it is very confusing. The service was okay, but it’s hard to tell whether the food will be delivered by car or bike. The other thing is it would be very nice to either know what kind of car you will get your food from or a picture of the delivery person. This would help when trying to figure out if it’s your order. Additionally most of the restaurants I tried weren’t the best they definitely could use more selections of various foods. The ordering process is easy enough, but it seems translate options only work half of the time.",2,False,M1000000000000000000000,Okay service but badly built app,Wolt
2019-05-14 10:21:30,"I have ordered twice from this company.  Both times, the food came exactly at the time it was expected!  I love that you can see the progress to your delivery both on a map and with the remaining minutes set out.  Great selection of restaurants and translation of menus is easily available into both French and English.  The restaurants that have joined have so far proved to be high quality.

Much better than their competition here in Israel!  My only complaint is that they need to expand their service beyond Tel Aviv and Ramat Gan.  Maybe Herzylia and Netanya?",5,False,CeJayBe,Great food delivery app in Tel Aviv!,Wolt
2021-07-12 17:28:11,"I was excited to use my promo codes and the free delivery you get when you first join. However, my account was flagged immediately for no reason and I was told it happens because of their system and there’s nothing I could do. So I created a new account using a new email and phone number. Again my order was denied. Every time it said “card could not be processed”. When I talked to customer service, they said it was because I had 2 accounts and that if I wanted to change my number or email I was supposed to contact them. 
I don’t know why it’s so difficult to order but it’s a loss of my business because I want to order quick and have it delivered, not spend an hour trying to process things.",1,False,Mintily,Could never place an order,Wolt
