Emoji, Name
🦘, "Kangaroo"
🥅, "Goal Net"
🤎, "Brown Heart"
🦨, "Skunk"
🎃, "Jack-O-Lantern"
🟥, "Red Square"
🧙, "Mage"
🥵, "Hot Face"
🧃, "Beverage Box"
🥺, "Pleading Face"
🧇, "Waffle"
🧊, "Ice"
🧘, "Person in Lotus Position"
🦥, "Sloth"
🚙, "Sport Utility Vehicle"
🧨, "Firecracker"
🤏, "Pinching Hand"
🦩, "Flamingo"
🟪, "Purple Circle"
🦹, "Supervillain"
🧵, "Thread"
🥏, "Flying Disc"
🥶, "Cold Face"
🟫, "Brown Square"
🤙, "Call Me Hand"
🧖, "Person in Steamy Room"
🧄, "Garlic"
💲, "Dollar Sign"
🛣, "Highway"
🟦, "Blue Square"
🟤, "Brown Square"
🧸, "Teddy Bear"
🧆, "Falafel"
🧑, "Person"
🔘, "Radio Button"
🩹, "Adhesive Bandage"
🦺, "Service Dog Vest"
🦧, "Orangutan"
🧒, "Child"
🦙, "Llama"
🦸, "Superhero"
💱, "Currency Exchange"
📵, "No Entry Sign"
🧟, "Zombie"
🩸, "Drop of Blood"
🪐, "Ringed Planet"
🟧, "Orange Square"
✿, "Blossom"
🧏, "Deaf Person"
🥱, "Yawning Face"
🥚, "Egg"
🦪, "Oyster"
🦚, "Peacock"
🦳, "Tapir"
🦡, "Badger"
🦾, "Anatomical Heart"
🧍, "Person Standing"
🟨, "Yellow Square"
🦻, "Deaf Person with Probing Cane"
🥴, "Woozy Face"
🥳, "Partying Face"
🧬, "DNA"
🦦, "Sloth Face"
🦴, "Footprints"
🥯, "Bagel"
🥙, "Falafel Pita"
🥘, "Shallow Pan of Food"
🧻, "Toilet Paper"
🦠, "Microbe"
🦞, "Lobster"
🥰, "Smiling Face with Hearts"
🦲, "Bald Face"
🧚, "Fairy"
🦱, "Curly Hair"
🦜, "Parrot"
🦌, "Deer"
🦮, "Guide Dog"
🥮, "Moon Cake"
🧭, "Compass"
🧼, "Sponge"
🤍, "White Heart"
